"ID","Date","Time","End Time","Track","Title","Chair(s)","Chair Affiliation(s)","Location","End Time","Notes","Web Page","Submission IDs"
"206","May 9, 2012","14:30","15:50","L","Culture, Playfulness, and Creativity","Lucian Leahu","Cornell University, USA","12AB","15:50","","","paper776 paper1466 to102 cs180"
"92","May 9, 2012","14:30","15:50","M","Course 27: Card Sorting for Navigation Design","William Hudson","","13A","15:50","","","cr100"
"104","May 9, 2012","14:30","15:50","N","Course 30: Multimodal Detection of Affective States: A Roadmap from Brain-Computer Interfaces, Face-Based Emotion Recognition, Eye Tracking and Other Sensors","Javier Gonzalez-Sanchez, Maria Elena Chavez-Echeagaray","","13B","15:50","","","cr145"
"35","May 9, 2012","14:30","15:50","O","SIG: End-User Programming","","","11A","15:50","","","si115"
"24","May 9, 2012","14:30","15:50","P","SIG: Reject Me: Peer Review and SIGCHI","","","11B","15:50","","","si125 si135"
"161","May 9, 2012","14:30","15:50","Q","Usability Methods","Effie Law","University of Leicester, UK","16AB","15:50","","","paper1861 paper134 paper956 paper1885"
"191","May 9, 2012","16:30","17:50","A","Design Theory & Practice","Jeffrey Bardzell","Indiana University, USA","19AB","17:50","","","paper1926 paper360 cs128 cs110 paper1993"
"100","May 9, 2012","16:30","17:50","B","Course 28: Empirical Research Methods for Human-Computer Interaction","Scott MacKenzie, Steven Castellucci","","14","17:50","","","cr116"
"96","May 9, 2012","16:30","17:50","C","Course 31: Designing for 'Cool': Making Compelling Products and Applications","Karen Holtzblatt","","15","17:50","","","cr118"
"7","May 9, 2012","16:30","17:50","D","Invited Panel: Managing UX Teams: Insights from Executive Leaders","","","Ballroom D","17:50","","","pl108"
"180","May 9, 2012","16:30","17:50","E","Morphing & Tracking & Stacking: 3D Interaction","Celine Latulipe","University of North Carolina at Charlotte, USA","Ballroom E","17:50","","","paper1533 paper1987 paper1967 paper1073"
"188","May 9, 2012","16:30","17:50","F","Social Computing: Business & Beyond","Henriette Cramer","Mobile Life @ SICS, Sweden","Ballroom F","17:50","","","paper1537 paper1573 cs167 cs123 paper1750"
"209","May 9, 2012","16:30","17:50","G","Programming, Performance, and Sense Making","John Thomas","IBM Research, USA","Ballroom G","17:50","","","paper156 cs151 paper428 paper1490 paper1752"
"184","May 9, 2012","16:30","17:50","H","Triple T: Touch, Tables, Tablets","Bjoern Hartmann","University of California Berkeley, USA","17AB","17:50","","","paper1848 paper118 paper1788 to109"
"169","May 9, 2012","16:30","17:50","J","Defying Environmental Behavior Changes","Alan Borning","University of Washington, USA","18AB","17:50","","","paper633 paper915 paper580 paper1585"
"194","May 9, 2012","16:30","17:50","K","Learning with Children","Carl DiSalvo","Georgia Institute of Technology, USA","18CD","17:50","","","paper760 cs132 paper1282 paper913 cs125"
"144","May 9, 2012","16:30","17:50","L","See Hear Speak: Redesigning I/O for Effectiveness","Eytan Adar","University of Michigan, USA","12AB","17:50","","","paper333 paper1901 paper444 paper665"
"93","May 9, 2012","16:30","17:50","M","Course 27: Card Sorting for Navigation Design","William Hudson","","13A","17:50","","","cr100"
"105","May 9, 2012","16:30","17:50","N","Course 30: Multimodal Detection of Affective States: A Roadmap from Brain-Computer Interfaces, Face-Based Emotion Recognition, Eye Tracking and Other Sensors","Javier Gonzalez-Sanchez, Maria Elena Chavez-Echeagaray","","13B","17:50","","","cr145"
"26","May 9, 2012","16:30","17:50","O","SIG: HCI research and education in Arabic universities","","","11A","17:50","","","si107"
"34","May 9, 2012","16:30","17:50","P","Invited SIG: CHI 2012 Engineering Community SIG: the role of engineering work in CHI","","","11B","17:50","","","si126"
"6","May 9, 2012","16:30","17:50","Q","alt.chi: Making Sense","Amanda Williams","Concordia University, Canada","16AB","17:50","","","al122 al108 al134 al103 al132"
"217","May 10, 2012","06:14","06:34","F","","","","Ballroom F","06:34","","",""
"223","May 10, 2012","08:30","09:20","D","Madness","Paul André, Petra Sundström","","Ballroom D","09:20","","",""
"201","May 10, 2012","09:30","10:50","A","Organizing the Recovery","Ron Wakkary","Simon Fraser University, Canada","19AB","10:50","","","to112 to113 cs149 cs155 paper314"
"111","May 10, 2012","09:30","10:50","B","Course 35: From Discourse-based Models to UIs Automatically Optimized for Your SmartPhone","Hermann Kaindl","","14","10:50","","","cr124"
"106","May 10, 2012","09:30","10:50","C","Course 32: Agile User Experience and UCD","William Hudson","","15","10:50","","","cr102"
"10","May 10, 2012","09:30","10:50","D","Lifetime Achievement in Research Award: Dan Olsen","Brad A. Myers","Carnegie Mellon University, USA","Ballroom D","10:50","","","sp111"
"195","May 10, 2012","09:30","10:50","E","Touch Text Entry","Daniel Wigdor","University of Toronto, Canada","Ballroom E","10:50","","","paper449 paper814 paper1066 paper229 paper1147"
"46","May 10, 2012","09:30","10:50","F","Material Interactions - From Atoms & Bits to Entangled Practices ","Mikael Wiberg","","Ballroom F","10:50","","","pl110"
"189","May 10, 2012","09:30","10:50","G","Programming and Debugging","Niklas Elmqvist","Purdue University, USA","Ballroom G","10:50","","","paper1283 paper1713 paper1754 to117"
"207","May 10, 2012","09:30","10:50","H","Interactions Beyond the Desktop","Kent Lyons","Intel Labs Santa Clara, USA","17AB","10:50","","","paper1239 paper767 paper1830 paper634 paper1285"
"210","May 10, 2012","09:30","10:50","J","Right Where I Am:  UX in Complex Environments","Kari-Jouko Räihä","University of Tampere, Finland","18AB","10:50","","","paper214 paper718 paper1314 cs113 paper1171"
"213","May 10, 2012","09:30","10:50","K","Health and Children","Julie Kientz","University of Washington, USA","18CD","10:50","","","paper654 paper716 paper1487 paper1252"
"4","May 10, 2012","09:30","10:50","L","alt.chi: Home and Neighborhood","Josh Tanenbaum","Simon Fraser University, Canada","12AB","10:50","","","al136 al109 al117 al126 al113"
"108","May 10, 2012","09:30","10:50","M","Course 33: Cognitive Crash Dummies:  Predicting Performance from Early Prototypes","Bonnie E. John","","13A","10:50","","","cr125"
"110","May 10, 2012","09:30","10:50","N","Course 34: Designing for Persuasion","Aaron Marcus","","13B","10:50","","","cr147"
"29","May 10, 2012","09:30","10:50","O","SIG: Changing requirements to HCI funding: A global perspective","","","11A","10:50","","","si122"
"32","May 10, 2012","09:30","10:50","P","Invited SIG: Digital Art: Evaluation, Appreciation, Critique","","","11B","10:50","","","si128"
"138","May 10, 2012","09:30","10:50","Q","Comfortable Aging","Volker Wulf","University of Siegen, Germany","16AB","10:50","","","cs168 paper611 paper1256 paper121"
"232","May 10, 2012","10:50","11:30","R","Poster interactions focusing on Work in Progress: Child-computer Interaction, Sustainability, Engineering, Games and Entertainment, Health, Digital Arts, Management, and other","","","Exhibition Hall ","11:30","","","wp542 wp572 wp477 wp567 wp199 wp215 wp369 wp560 wp106 wp161 wp391 wp202 wp352 wp461 wp176 wp349 wp302 wp195 wp261 wp207 wp121 wp378 wp292 wp519 wp483 wp449 wp568 wp197 wp594 wp521 wp181 wp515 wp535 wp172 wp573 wp396 wp409 wp387 wp368 wp426 wp251 wp326 wp194 wp460 wp284 wp304 wp405 wp308 wp451 wp271 wp319 wp392 wp407 wp265 wp402 wp296 wp286 wp312 wp258 wp315 wp476 wp440 wp459 wp452 wp210 wp403 wp538 wp559 wp289 wp317 wp162 wp277 wp344 wp593 wp423 wp472 wp422 wp446 wp584 wp209 wp324 wp141 wp186 wp142 wp108 wp380 wp287 wp578 wp467 wp552 wp520 wp499 wp185 wp444 wp433 wp144 wp577 wp164 wp592 wp119 wp595"
"202","May 10, 2012","11:30","12:50","A","Crowdsourcing and Peer Production II","Erika Poole","Penn State, USA","19AB","12:50","","","paper1505 paper615 paper1678 paper1095 paper1233"
"112","May 10, 2012","11:30","12:50","B","Course 35: From Discourse-based Models to UIs Automatically Optimized for Your SmartPhone","Hermann Kaindl","","14","12:50","","","cr124"
"107","May 10, 2012","11:30","12:50","C","Course 32: Agile User Experience and UCD","William Hudson","","15","12:50","","","cr102"
"15","May 10, 2012","11:30","12:50","D","Invited lecture: Stu Card","Ed H. Chi","","Ballroom D","12:50","","","sp106"
"196","May 10, 2012","11:30","12:50","E","Bigger is Better:  Large and Multiple Display Environments","David Dearman","Nokia Research Center, USA","Ballroom E","12:50","","","to107 paper517 paper489 paper1027"
"50","May 10, 2012","11:30","12:50","F","Social Sustainability: An HCI Agenda ","Daniela Busse, Eli Blevis, Samuel Mann","","Ballroom F","12:50","","","pl118"
"199","May 10, 2012","11:30","12:50","G","What a Lovely Gesture","Hrvoje Benko","Microsoft Research, USA","Ballroom G","12:50","","","paper1915 paper423 paper1130 cs150"
"208","May 10, 2012","11:30","12:50","H","Me & My Mobile","Lynne Baillie","Glasgow Caledonian University, UK","17AB","12:50","","","paper296 paper781 paper977 paper732 cs202"
"211","May 10, 2012","11:30","12:50","J","Understanding Gamers","Peter Tolmie","University of Nottingham, UK","18AB","12:50","","","paper138 cs144 paper670 paper712 paper1799 cs124"
"5","May 10, 2012","11:30","12:50","K","alt.chi: Design Matters","Jan Borchers","RWTH Aachen University, Germany","18CD","12:50","","","al107 al120 al131 al119 al130"
"166","May 10, 2012","11:30","12:50","L","Tweet, Tweet, Tweet!","Sadat Shami","IBM Research, USA","12AB","12:50","","","paper1944 paper1601 paper690 paper647 cs199"
"109","May 10, 2012","11:30","12:50","M","Course 33: Cognitive Crash Dummies:  Predicting Performance from Early Prototypes","Bonnie E. John","","13A","12:50","","","cr125"
"113","May 10, 2012","11:30","12:50","N","Course 36: Methodology for Evaluating Experience of Mobile Applications Used in Different Contexts of Daily Life","Katarzyna Wac","","13B","12:50","","","cr139"
"30","May 10, 2012","11:30","12:50","O","Invited SIG: Participation and HCI: Why Involve People in Design?","","","11A","12:50","","","si121"
"23","May 10, 2012","11:30","12:50","P","SIG: Gaze Interaction in the Post-WIMP World","","","11B","12:50","","","si109"
"205","May 10, 2012","11:30","12:50","Q","Better Together","Gary Hsieh","Michigan State University, USA","16AB","12:50","","","to114 paper804 paper313 paper1278"
"203","May 10, 2012","14:30","15:50","A","With a Little Help from My Friends","Amy Hurst","Carnegie Mellon, USA","19AB","15:50","","","paper1350 paper1859 paper990 cs138"
"116","May 10, 2012","14:30","15:50","B","Course 38: Selecting UCD Methods that Maximize Benefits and Minimize Project Risks","Nigel Bevan","","14","15:50","","","cr135"
"115","May 10, 2012","14:30","15:50","C","Course 37: Putting Conceptual Models to Work","Austin Henderson","","15","15:50","","","cr127"
"13","May 10, 2012","14:30","15:50","D","Rehearsal (Closed)","Joe Konstan, Ed H. Chi, Kia Hook","","Ballroom D","15:50","","",""
"197","May 10, 2012","14:30","15:50","E","Use the Force","Mike Horn","Northwestern University, USA","Ballroom E","15:50","","","paper747 paper538 paper941 paper868 paper1218"
"42","May 10, 2012","14:30","15:50","F","How-to-Guide:  Collaborating with Executives in a Pro-Design World","Iram Mirza, Jannie Lai, Craig Villamor","","Ballroom F","15:50","","","pl101"
"200","May 10, 2012","14:30","15:50","G","Human Performance Gives Us Fitts'","Olivier Chapuis","Univ Paris-Sud, France","Ballroom G","15:50","","","paper1647 paper657 paper1351 paper513 paper1565"
"198","May 10, 2012","14:30","15:50","H","Do You See What Eye See","Andrew Duchowski","Clemson University, USA","17AB","15:50","","","paper405 paper329 paper1347 paper103"
"212","May 10, 2012","14:30","15:50","J","Home and Family","Andrea Grimes Parker","Georgia Institute of Technology, USA","18AB","15:50","","","to101 paper139 paper1881 paper194"
"215","May 10, 2012","14:30","15:50","K","Designing for Learners' Complex Needs","Hilary Hutchinson","Google, USA","18CD","15:50","","","paper141 paper1153 paper984 cs170"
"216","May 10, 2012","14:30","15:50","L","Usability and User Research","Anna Cox","University College London, UK","12AB","15:50","","","paper365 paper784 paper1706 paper1253 paper572"
"21","May 10, 2012","14:30","15:50","M","SIG: Animal-Computer Interaction","","","13A","15:50","","","si108"
"114","May 10, 2012","14:30","15:50","N","Course 36: Methodology for Evaluating Experience of Mobile Applications Used in Different Contexts of Daily Life","Katarzyna Wac","","13B","15:50","","","cr139"
"31","May 10, 2012","14:30","15:50","O","SIG: Designing Wellness Interventions and Applications","","","11A","15:50","","","si123"
"33","May 10, 2012","14:30","15:50","P","SIG: Work Life Balance in HCI","","","11B","15:50","","","si131"
"190","May 10, 2012","14:30","15:50","Q","Groups @ Work","Eric Gilbert","Georgia Institute of Technology, USA","16AB","15:50","","","paper461 paper643 paper485 paper1189"
"11","May 10, 2012","16:30","17:50","D","Closing Plenary","Ed H. Chi, Kristina Höök","Google, Mobile Life @ KTH","Ballroom D","17:50","","","sp113"
"X","","","","A","Unassigned Submissions","","","19AB","","","",""
